director_name,actor_1_name,actor_2_name,actor_3_name,genres,movie_title
CCH Pounder,CCH Pounder,CCH Pounder,CCH Pounder,Action Adventure Fantasy Sci-Fi,avatar
Johnny Depp,Johnny Depp,Johnny Depp,Johnny Depp,Action Adventure Fantasy,pirates of the caribbean: at world's end
Christoph Waltz,Christoph Waltz,Christoph Waltz,Christoph Waltz,Action Adventure Thriller,spectre
Tom Hardy,Tom Hardy,Tom Hardy,Tom Hardy,Action Thriller,the dark knight rises
Doug Walker,Doug Walker,Doug Walker,Doug Walker,Documentary,star wars: episode vii - the force awakens            
Daryl Sabara,Daryl Sabara,Daryl Sabara,Daryl Sabara,Action Adventure Sci-Fi,john carter
J.K. Simmons,J.K. Simmons,J.K. Simmons,J.K. Simmons,Action Adventure Romance,spider-man 3
Brad Garrett,Brad Garrett,Brad Garrett,Brad Garrett,Adventure Animation Comedy Family Fantasy Musical Romance,tangled
Chris Hemsworth,Chris Hemsworth,Chris Hemsworth,Chris Hemsworth,Action Adventure Sci-Fi,avengers: age of ultron
Alan Rickman,Alan Rickman,Alan Rickman,Alan Rickman,Adventure Family Fantasy Mystery,harry potter and the half-blood prince
Henry Cavill,Henry Cavill,Henry Cavill,Henry Cavill,Action Adventure Sci-Fi,batman v superman: dawn of justice
Kevin Spacey,Kevin Spacey,Kevin Spacey,Kevin Spacey,Action Adventure Sci-Fi,superman returns
Giancarlo Giannini,Giancarlo Giannini,Giancarlo Giannini,Giancarlo Giannini,Action Adventure,quantum of solace
Johnny Depp,Johnny Depp,Johnny Depp,Johnny Depp,Action Adventure Fantasy,pirates of the caribbean: dead man's chest
Johnny Depp,Johnny Depp,Johnny Depp,Johnny Depp,Action Adventure Western,the lone ranger
Henry Cavill,Henry Cavill,Henry Cavill,Henry Cavill,Action Adventure Fantasy Sci-Fi,man of steel
Peter Dinklage,Peter Dinklage,Peter Dinklage,Peter Dinklage,Action Adventure Family Fantasy,the chronicles of narnia: prince caspian
Chris Hemsworth,Chris Hemsworth,Chris Hemsworth,Chris Hemsworth,Action Adventure Sci-Fi,the avengers
Johnny Depp,Johnny Depp,Johnny Depp,Johnny Depp,Action Adventure Fantasy,pirates of the caribbean: on stranger tides
Will Smith,Will Smith,Will Smith,Will Smith,Action Adventure Comedy Family Fantasy Sci-Fi,men in black 3
Aidan Turner,Aidan Turner,Aidan Turner,Aidan Turner,Adventure Fantasy,the hobbit: the battle of the five armies
Emma Stone,Emma Stone,Emma Stone,Emma Stone,Action Adventure Fantasy,the amazing spider-man
Mark Addy,Mark Addy,Mark Addy,Mark Addy,Action Adventure Drama History,robin hood
Aidan Turner,Aidan Turner,Aidan Turner,Aidan Turner,Adventure Fantasy,the hobbit: the desolation of smaug
Christopher Lee,Christopher Lee,Christopher Lee,Christopher Lee,Adventure Family Fantasy,the golden compass
Naomi Watts,Naomi Watts,Naomi Watts,Naomi Watts,Action Adventure Drama Romance,king kong
Leonardo DiCaprio,Leonardo DiCaprio,Leonardo DiCaprio,Leonardo DiCaprio,Drama Romance,titanic
Robert Downey Jr.,Robert Downey Jr.,Robert Downey Jr.,Robert Downey Jr.,Action Adventure Sci-Fi,captain america: civil war
Liam Neeson,Liam Neeson,Liam Neeson,Liam Neeson,Action Adventure Sci-Fi Thriller,battleship
Bryce Dallas Howard,Bryce Dallas Howard,Bryce Dallas Howard,Bryce Dallas Howard,Action Adventure Sci-Fi Thriller,jurassic world
Albert Finney,Albert Finney,Albert Finney,Albert Finney,Action Adventure Thriller,skyfall
J.K. Simmons,J.K. Simmons,J.K. Simmons,J.K. Simmons,Action Adventure Fantasy Romance,spider-man 2
Robert Downey Jr.,Robert Downey Jr.,Robert Downey Jr.,Robert Downey Jr.,Action Adventure Sci-Fi,iron man 3
Johnny Depp,Johnny Depp,Johnny Depp,Johnny Depp,Adventure Family Fantasy,alice in wonderland
Hugh Jackman,Hugh Jackman,Hugh Jackman,Hugh Jackman,Action Adventure Fantasy Sci-Fi Thriller,x-men: the last stand
Steve Buscemi,Steve Buscemi,Steve Buscemi,Steve Buscemi,Adventure Animation Comedy Family Fantasy,monsters university
Glenn Morshower,Glenn Morshower,Glenn Morshower,Glenn Morshower,Action Adventure Sci-Fi,transformers: revenge of the fallen
Bingbing Li,Bingbing Li,Bingbing Li,Bingbing Li,Action Adventure Sci-Fi,transformers: age of extinction
Tim Holmes,Tim Holmes,Tim Holmes,Tim Holmes,Adventure Family Fantasy,oz the great and powerful
Emma Stone,Emma Stone,Emma Stone,Emma Stone,Action Adventure Fantasy Sci-Fi,the amazing spider-man 2
Jeff Bridges,Jeff Bridges,Jeff Bridges,Jeff Bridges,Action Adventure Sci-Fi,tron: legacy
Joe Mantegna,Joe Mantegna,Joe Mantegna,Joe Mantegna,Adventure Animation Comedy Family Sport,cars 2
Ryan Reynolds,Ryan Reynolds,Ryan Reynolds,Ryan Reynolds,Action Adventure Sci-Fi,green lantern
Tom Hanks,Tom Hanks,Tom Hanks,Tom Hanks,Adventure Animation Comedy Family Fantasy,toy story 3
Christian Bale,Christian Bale,Christian Bale,Christian Bale,Action Adventure Sci-Fi,terminator salvation
Jason Statham,Jason Statham,Jason Statham,Jason Statham,Action Crime Thriller,furious 7
Peter Capaldi,Peter Capaldi,Peter Capaldi,Peter Capaldi,Action Adventure Horror Sci-Fi Thriller,world war z
Jennifer Lawrence,Jennifer Lawrence,Jennifer Lawrence,Jennifer Lawrence,Action Adventure Fantasy Sci-Fi Thriller,x-men: days of future past
Benedict Cumberbatch,Benedict Cumberbatch,Benedict Cumberbatch,Benedict Cumberbatch,Action Adventure Sci-Fi,star trek into darkness
Eddie Marsan,Eddie Marsan,Eddie Marsan,Eddie Marsan,Adventure Fantasy,jack the giant slayer
Leonardo DiCaprio,Leonardo DiCaprio,Leonardo DiCaprio,Leonardo DiCaprio,Drama Romance,the great gatsby
Jake Gyllenhaal,Jake Gyllenhaal,Jake Gyllenhaal,Jake Gyllenhaal,Action Adventure Fantasy Romance,prince of persia: the sands of time
Charlie Hunnam,Charlie Hunnam,Charlie Hunnam,Charlie Hunnam,Action Adventure Sci-Fi,pacific rim
Glenn Morshower,Glenn Morshower,Glenn Morshower,Glenn Morshower,Action Adventure Sci-Fi,transformers: dark of the moon
Harrison Ford,Harrison Ford,Harrison Ford,Harrison Ford,Action Adventure Fantasy,indiana jones and the kingdom of the crystal skull
A.J. Buckley,A.J. Buckley,A.J. Buckley,A.J. Buckley,Adventure Animation Comedy Family Fantasy,the good dinosaur
Kelly Macdonald,Kelly Macdonald,Kelly Macdonald,Kelly Macdonald,Adventure Animation Comedy Family Fantasy,brave
Sofia Boutella,Sofia Boutella,Sofia Boutella,Sofia Boutella,Action Adventure Sci-Fi Thriller,star trek beyond
John Ratzenberger,John Ratzenberger,John Ratzenberger,John Ratzenberger,Adventure Animation Family Sci-Fi,wall·e
Tzi Ma,Tzi Ma,Tzi Ma,Tzi Ma,Action Comedy Crime Thriller,rush hour 3
Oliver Platt,Oliver Platt,Oliver Platt,Oliver Platt,Action Adventure Sci-Fi,2012
Robin Wright,Robin Wright,Robin Wright,Robin Wright,Animation Drama Family Fantasy,a christmas carol
Channing Tatum,Channing Tatum,Channing Tatum,Channing Tatum,Action Adventure Sci-Fi,jupiter ascending
Christoph Waltz,Christoph Waltz,Christoph Waltz,Christoph Waltz,Action Adventure Drama Romance,the legend of tarzan
Jim Broadbent,Jim Broadbent,Jim Broadbent,Jim Broadbent,Adventure Family Fantasy,"the chronicles of narnia: the lion, the witch and the wardrobe"
