director_name,actor_1_name,actor_2_name,actor_3_name,genres,movie_title,comb
CCH Pounder,CCH Pounder,CCH Pounder,CCH Pounder,Action Adventure Fantasy Sci-Fi,avatar,CCH Pounder CCH Pounder CCH Pounder CCH Pounder Action Adventure Fantasy Sci-Fi
Johnny Depp,Johnny Depp,Johnny Depp,Johnny Depp,Action Adventure Fantasy,pirates of the caribbean: at world's end,Johnny Depp Johnny Depp Johnny Depp Johnny Depp Action Adventure Fantasy
Christoph Waltz,Christoph Waltz,Christoph Waltz,Christoph Waltz,Action Adventure Thriller,spectre,Christoph Waltz Christoph Waltz Christoph Waltz Christoph Waltz Action Adventure Thriller
Tom Hardy,Tom Hardy,Tom Hardy,Tom Hardy,Action Thriller,the dark knight rises,Tom Hardy Tom Hardy Tom Hardy Tom Hardy Action Thriller
Doug Walker,Doug Walker,Doug Walker,Doug Walker,Documentary,star wars: episode vii - the force awakens            ,Doug Walker Doug Walker Doug Walker Doug Walker Documentary
Daryl Sabara,Daryl Sabara,Daryl Sabara,Daryl Sabara,Action Adventure Sci-Fi,john carter,Daryl Sabara Daryl Sabara Daryl Sabara Daryl Sabara Action Adventure Sci-Fi
Brad Garrett,Brad Garrett,Brad Garrett,Brad Garrett,Adventure Animation Comedy Family Fantasy Musical Romance,tangled,Brad Garrett Brad Garrett Brad Garrett Brad Garrett Adventure Animation Comedy Family Fantasy Musical Romance
Chris Hemsworth,Chris Hemsworth,Chris Hemsworth,Chris Hemsworth,Action Adventure Sci-Fi,avengers: age of ultron,Chris Hemsworth Chris Hemsworth Chris Hemsworth Chris Hemsworth Action Adventure Sci-Fi
Alan Rickman,Alan Rickman,Alan Rickman,Alan Rickman,Adventure Family Fantasy Mystery,harry potter and the half-blood prince,Alan Rickman Alan Rickman Alan Rickman Alan Rickman Adventure Family Fantasy Mystery
Henry Cavill,Henry Cavill,Henry Cavill,Henry Cavill,Action Adventure Sci-Fi,batman v superman: dawn of justice,Henry Cavill Henry Cavill Henry Cavill Henry Cavill Action Adventure Sci-Fi
Kevin Spacey,Kevin Spacey,Kevin Spacey,Kevin Spacey,Action Adventure Sci-Fi,superman returns,Kevin Spacey Kevin Spacey Kevin Spacey Kevin Spacey Action Adventure Sci-Fi
Giancarlo Giannini,Giancarlo Giannini,Giancarlo Giannini,Giancarlo Giannini,Action Adventure,quantum of solace,Giancarlo Giannini Giancarlo Giannini Giancarlo Giannini Giancarlo Giannini Action Adventure
Johnny Depp,Johnny Depp,Johnny Depp,Johnny Depp,Action Adventure Fantasy,pirates of the caribbean: dead man's chest,Johnny Depp Johnny Depp Johnny Depp Johnny Depp Action Adventure Fantasy
Johnny Depp,Johnny Depp,Johnny Depp,Johnny Depp,Action Adventure Western,the lone ranger,Johnny Depp Johnny Depp Johnny Depp Johnny Depp Action Adventure Western
Henry Cavill,Henry Cavill,Henry Cavill,Henry Cavill,Action Adventure Fantasy Sci-Fi,man of steel,Henry Cavill Henry Cavill Henry Cavill Henry Cavill Action Adventure Fantasy Sci-Fi
Peter Dinklage,Peter Dinklage,Peter Dinklage,Peter Dinklage,Action Adventure Family Fantasy,the chronicles of narnia: prince caspian,Peter Dinklage Peter Dinklage Peter Dinklage Peter Dinklage Action Adventure Family Fantasy
Johnny Depp,Johnny Depp,Johnny Depp,Johnny Depp,Action Adventure Fantasy,pirates of the caribbean: on stranger tides,Johnny Depp Johnny Depp Johnny Depp Johnny Depp Action Adventure Fantasy
Will Smith,Will Smith,Will Smith,Will Smith,Action Adventure Comedy Family Fantasy Sci-Fi,men in black 3,Will Smith Will Smith Will Smith Will Smith Action Adventure Comedy Family Fantasy Sci-Fi
Aidan Turner,Aidan Turner,Aidan Turner,Aidan Turner,Adventure Fantasy,the hobbit: the battle of the five armies,Aidan Turner Aidan Turner Aidan Turner Aidan Turner Adventure Fantasy
Emma Stone,Emma Stone,Emma Stone,Emma Stone,Action Adventure Fantasy,the amazing spider-man,Emma Stone Emma Stone Emma Stone Emma Stone Action Adventure Fantasy
Mark Addy,Mark Addy,Mark Addy,Mark Addy,Action Adventure Drama History,robin hood,Mark Addy Mark Addy Mark Addy Mark Addy Action Adventure Drama History
Aidan Turner,Aidan Turner,Aidan Turner,Aidan Turner,Adventure Fantasy,the hobbit: the desolation of smaug,Aidan Turner Aidan Turner Aidan Turner Aidan Turner Adventure Fantasy
Christopher Lee,Christopher Lee,Christopher Lee,Christopher Lee,Adventure Family Fantasy,the golden compass,Christopher Lee Christopher Lee Christopher Lee Christopher Lee Adventure Family Fantasy
Leonardo DiCaprio,Leonardo DiCaprio,Leonardo DiCaprio,Leonardo DiCaprio,Drama Romance,titanic,Leonardo DiCaprio Leonardo DiCaprio Leonardo DiCaprio Leonardo DiCaprio Drama Romance
Robert Downey Jr.,Robert Downey Jr.,Robert Downey Jr.,Robert Downey Jr.,Action Adventure Sci-Fi,captain america: civil war,Robert Downey Jr. Robert Downey Jr. Robert Downey Jr. Robert Downey Jr. Action Adventure Sci-Fi
Liam Neeson,Liam Neeson,Liam Neeson,Liam Neeson,Action Adventure Sci-Fi Thriller,battleship,Liam Neeson Liam Neeson Liam Neeson Liam Neeson Action Adventure Sci-Fi Thriller
Bryce Dallas Howard,Bryce Dallas Howard,Bryce Dallas Howard,Bryce Dallas Howard,Action Adventure Sci-Fi Thriller,jurassic world,Bryce Dallas Howard Bryce Dallas Howard Bryce Dallas Howard Bryce Dallas Howard Action Adventure Sci-Fi Thriller
J.K. Simmons,J.K. Simmons,J.K. Simmons,J.K. Simmons,Action Adventure Fantasy Romance,spider-man 2,J.K. Simmons J.K. Simmons J.K. Simmons J.K. Simmons Action Adventure Fantasy Romance
Robert Downey Jr.,Robert Downey Jr.,Robert Downey Jr.,Robert Downey Jr.,Action Adventure Sci-Fi,iron man 3,Robert Downey Jr. Robert Downey Jr. Robert Downey Jr. Robert Downey Jr. Action Adventure Sci-Fi
Hugh Jackman,Hugh Jackman,Hugh Jackman,Hugh Jackman,Action Adventure Fantasy Sci-Fi Thriller,x-men: the last stand,Hugh Jackman Hugh Jackman Hugh Jackman Hugh Jackman Action Adventure Fantasy Sci-Fi Thriller
Steve Buscemi,Steve Buscemi,Steve Buscemi,Steve Buscemi,Adventure Animation Comedy Family Fantasy,monsters university,Steve Buscemi Steve Buscemi Steve Buscemi Steve Buscemi Adventure Animation Comedy Family Fantasy
Glenn Morshower,Glenn Morshower,Glenn Morshower,Glenn Morshower,Action Adventure Sci-Fi,transformers: revenge of the fallen,Glenn Morshower Glenn Morshower Glenn Morshower Glenn Morshower Action Adventure Sci-Fi
Bingbing Li,Bingbing Li,Bingbing Li,Bingbing Li,Action Adventure Sci-Fi,transformers: age of extinction,Bingbing Li Bingbing Li Bingbing Li Bingbing Li Action Adventure Sci-Fi
Emma Stone,Emma Stone,Emma Stone,Emma Stone,Action Adventure Fantasy Sci-Fi,the amazing spider-man 2,Emma Stone Emma Stone Emma Stone Emma Stone Action Adventure Fantasy Sci-Fi
Joe Mantegna,Joe Mantegna,Joe Mantegna,Joe Mantegna,Adventure Animation Comedy Family Sport,cars 2,Joe Mantegna Joe Mantegna Joe Mantegna Joe Mantegna Adventure Animation Comedy Family Sport
Ryan Reynolds,Ryan Reynolds,Ryan Reynolds,Ryan Reynolds,Action Adventure Sci-Fi,green lantern,Ryan Reynolds Ryan Reynolds Ryan Reynolds Ryan Reynolds Action Adventure Sci-Fi
Tom Hanks,Tom Hanks,Tom Hanks,Tom Hanks,Adventure Animation Comedy Family Fantasy,toy story 3,Tom Hanks Tom Hanks Tom Hanks Tom Hanks Adventure Animation Comedy Family Fantasy
Christian Bale,Christian Bale,Christian Bale,Christian Bale,Action Adventure Sci-Fi,terminator salvation,Christian Bale Christian Bale Christian Bale Christian Bale Action Adventure Sci-Fi
Jason Statham,Jason Statham,Jason Statham,Jason Statham,Action Crime Thriller,furious 7,Jason Statham Jason Statham Jason Statham Jason Statham Action Crime Thriller
Peter Capaldi,Peter Capaldi,Peter Capaldi,Peter Capaldi,Action Adventure Horror Sci-Fi Thriller,world war z,Peter Capaldi Peter Capaldi Peter Capaldi Peter Capaldi Action Adventure Horror Sci-Fi Thriller
Jennifer Lawrence,Jennifer Lawrence,Jennifer Lawrence,Jennifer Lawrence,Action Adventure Fantasy Sci-Fi Thriller,x-men: days of future past,Jennifer Lawrence Jennifer Lawrence Jennifer Lawrence Jennifer Lawrence Action Adventure Fantasy Sci-Fi Thriller
Benedict Cumberbatch,Benedict Cumberbatch,Benedict Cumberbatch,Benedict Cumberbatch,Action Adventure Sci-Fi,star trek into darkness,Benedict Cumberbatch Benedict Cumberbatch Benedict Cumberbatch Benedict Cumberbatch Action Adventure Sci-Fi
Eddie Marsan,Eddie Marsan,Eddie Marsan,Eddie Marsan,Adventure Fantasy,jack the giant slayer,Eddie Marsan Eddie Marsan Eddie Marsan Eddie Marsan Adventure Fantasy
Jake Gyllenhaal,Jake Gyllenhaal,Jake Gyllenhaal,Jake Gyllenhaal,Action Adventure Fantasy Romance,prince of persia: the sands of time,Jake Gyllenhaal Jake Gyllenhaal Jake Gyllenhaal Jake Gyllenhaal Action Adventure Fantasy Romance
Charlie Hunnam,Charlie Hunnam,Charlie Hunnam,Charlie Hunnam,Action Adventure Sci-Fi,pacific rim,Charlie Hunnam Charlie Hunnam Charlie Hunnam Charlie Hunnam Action Adventure Sci-Fi
Glenn Morshower,Glenn Morshower,Glenn Morshower,Glenn Morshower,Action Adventure Sci-Fi,transformers: dark of the moon,Glenn Morshower Glenn Morshower Glenn Morshower Glenn Morshower Action Adventure Sci-Fi
Harrison Ford,Harrison Ford,Harrison Ford,Harrison Ford,Action Adventure Fantasy,indiana jones and the kingdom of the crystal skull,Harrison Ford Harrison Ford Harrison Ford Harrison Ford Action Adventure Fantasy
